companyName,description,description_word_count
Jungheinrich Aktiengesellschaft,"Jungheinrich Aktiengesellschaft, through its subsidiaries, manufactures and supplies products and solutions in the fields of warehousing and material handling equipment, automated systems, digital solutions, and matching services worldwide. It operates through Intralogistics and Financial Services segments. The Intralogistics segment develops, produces, sells, and rents new material handling equipment and warehousing equipment products; sale and short-term leasing of used trucks; and provides spare parts, as well as maintenance and repair services. The Financial Services segment engages in the sales financing and usage transfer of material handling and warehousing equipment products. The company's products portfolio includes pedestrian trucks, horizontal and vertical level order pickers, narrow aisle trucks, automated guided vehicles, stacker cranes, load handling equipment, reach trucks, stackers, tow tractors, low lift and double decker trucks, and electric drive trains, as well as pallet trucks; counterbalanced trucks; small-series and customized trucks; powertrain solutions; and electronic control units, lithium-ion batteries, and chargers. It also develops and distributes warehouse and fleet management systems, steering softwares for conveyor systems, and other digital solutions, as well as automation systems; and develops software solutions. The company distributes its products through its direct sales and service network, as well as through dealers. Jungheinrich Aktiengesellschaft was founded in 1953 and is headquartered in Hamburg, Germany.",206
thyssenkrupp AG,"thyssenkrupp AG operates in the areas of automotive technology, industrial components, marine systems, steel, and materials services in Germany, the United States, China, and internationally. The company's Automotive Technology segment develops and manufactures components and systems, as well as automation solutions for the automotive industry. Its Industrial Components segment manufactures and sells forged components and system solutions for the resource, construction, and mobility sectors; and slewing rings, antifriction bearings, and seamless rolled rings for the wind energy and construction machinery sectors. The company's Multi Tracks segment builds plants for the chemical, cement, and mining industries. Its Marine Systems segment provides systems in the submarine and surface vessel construction, as well as in the field of maritime electronics and security technology. The company's Materials Services segment distributes materials and offers technical services for the production and manufacturing sectors. Its Steel Europe segment provides flat carbon steel products, intelligent material solutions, and finished parts. thyssenkrupp AG was founded in 1811 and is headquartered in Essen, Germany. thyssenkrupp AG operates in the areas of materials services, industrial components, automotive technology, steel, and marine systems in Germany, the United States, China, and internationally. The company's Automotive Technology segment develops and manufactures components and systems, as well as automation solutions for the vehicle manufacturing. The company's Marine Systems segment offers systems in the submarine and surface vessel construction, as well as in the field of maritime electronics and security technology.",235
PVA TePla AG,"PVA TePla AG, together with its subsidiaries, manufactures and sells systems for the production and refinement of high-tech materials worldwide. It operates through two segments, Industrial Systems and Semiconductor Systems. The Industrial Systems division provides structural material technologies for semiconductor, aviation and aerospace, energy technology, and hard metal tools industries; and engages in the vacuum brazing, vacuum heat treatment, and diffusion bonding activities. The Semiconductor Systems division offers crystal growing systems, including silicon wafer technologies for microelectronics and silicon carbide wafer technologies for high-performance electronics; metrology systems comprising technologies for non-destructive quality control of wafers, semiconductor parts, and high-tech industrial material; and plasma systems, such as production technologies for micro-electronic mechanical systems and high-brightness light-emitting diodes, as well as technologies for the fabrication of ultrathin wafers. The company is headquartered in Wettenberg, Germany.",133
RATIONAL Aktiengesellschaft,"RATIONAL Aktiengesellschaft engages in the development, production, and sale of professional cooking appliances for industrial kitchens worldwide. It offers iCombi Pro and iCombi Classic, a combi-steamer with intelligent cooking paths, as well as care products for combi-steamers; iVario, a multifunctional cooking system that cooks in liquids or with contact with heat; and ConnectedCooking, an online portal for the professional kitchen. The company also provides accessories, service parts, and services for its products. It serves restaurants and hotels; communal catering, such as company canteens, hospitals, schools, universities, military, prisons, and retirement homes; and quick service restaurants, caterers, supermarkets, bakery and snack shops, butchers, petrol stations, and delivery services. The company sells its products through independent distribution partners. RATIONAL Aktiengesellschaft was founded in 1973 and is headquartered in Landsberg am Lech, Germany.",130
GEA Group Aktiengesellschaft,"GEA Group Aktiengesellschaft engages in the development and production of systems and components for the food processing industry worldwide. The company operates through five divisions: Separation & Flow Technologies, Liquid & Power Technologies, Food & Health Technologies, Farm Technologies, and Heating & Refrigeration Technologies. It provides separators, decanters, homogenizers, valves, and pumps; and process solutions for the dairy, food, beverage, chemical, and other industries. The company also offers solutions for food processing and pharmaceutical industries, which includes preparation, marinating, and processing of meat, poultry, seafood, vegan products, pasta production, baking, slicing, packaging, and confectionary, as well as frozen food processing; and granulation systems and tablet presses. In addition, it provides integrated customer solutions for milk production and livestock farming, such as automatic milking, feeding systems, conventional milking solutions, manure handling, and digital herd management tools; and sustainable energy solutions for an array of industries including food, beverage, dairy, and oil and gas in the field of industrial refrigeration and temperature control. The company was formerly known as mg technologies ag and changed its name to GEA Group Aktiengesellschaft in 2005. GEA Group Aktiengesellschaft was founded in 1881 and is headquartered in Düsseldorf, Germany.",193
Krones AG,"Krones AG, together with its subsidiaries, plans, develops, and manufactures machines and lines for the production, filling, and packaging technology in Germany and internationally. It operates in two segments, Machines and Lines for Product Filling and Decoration, and Machines and Lines for Beverage Production/Process Technology. The company provides process technology systems for use in beer, craft beer, juice, milk, soft drink, water, and spirit; Steinecker phoebus membrane filters; systems for ozonisation of water; bottle design; stretch blow molders; bottle washing machines; filling technology systems; inspection technology systems; labelers; conveyors; product treatment systems; packaging technology systems; palletizing technology systems; block technology systems; and recycling systems. It also offers solutions for intralogistics, material flow technology, or warehousing for the beverage and food sector; and IT solutions. It serves breweries; beverage producers; and companies from the food, chemical, pharmaceutical, and cosmetic industries. Krones AG was founded in 1951 and is headquartered in Neutraubling, Germany.",151
Vossloh AG,"Vossloh AG manufactures and markets rail infrastructure products and services worldwide. It operates through three divisions: Core Components, Customized Modules, and Lifecycle Solutions. The Core Components division develops, produces, and markets rail fastening systems for light-rail, heavy-haul, and high-speed lines, as well as urban transport. This division also manufactures concrete rail ties, switch ties, and concrete low-vibration blocks for slab tracks and crossing panels. The Customized Modules division manufactures, installs, and maintains switches and crossings, as well as related control and monitoring systems for light-rail and high-speed applications. The Lifecycle Solutions division engages in rail trading, long-rail unloading at construction sites, welding new rails, reconditioning old rails, on-site welding, rail replacement, rail grinding/milling, rail inspection, and construction site supervision activities. This division also organizes and monitors rail shipments to construction sites; and enables on-site availability of the unloading systems. The company was founded in 1883 and is based in Werdohl, Germany.",151
DEUTZ Aktiengesellschaft,"DEUTZ Aktiengesellschaft manufactures diesel and gas engines in Europe, the Middle East, Africa, the Asia Pacific, and the Americas. It operates through three segments: DEUTZ Compact Engines, DEUTZ Customized Solutions, and Other. The DEUTZ Compact Engines segment provides servicing of liquid-cooled engines with capacities of up to 8 liters. The DEUTZ Customized Solutions segment offers air-cooled drives and liquid-cooled engines with a capacity exceeding 8 liters; and reconditioned exchange engines and parts. The Other segment is involved in manufacturing electric and hybrid drive systems for marine applications under the Torqeedo brand; and development of battery management hardware and software products under the Futavis name, as well as focuses on the electrification of drive systems and electric-powered watercraft. The company also offers installation, maintenance, and repair services for engines. Its products are used in various applications, such as construction equipment, agricultural machinery, material handling equipment, ground support equipment, stationary equipment, commercial vehicles, rail vehicles, boats, and other applications. The company was founded in 1864 and is headquartered in Cologne, Germany.",169
Dürr Aktiengesellschaft,"Dürr Aktiengesellschaft, together with its subsidiaries, operates as a mechanical and plant engineering company worldwide. The company's Paint and Final Assembly Systems segment plans, builds, and updates paint shops and final assembly lines for the automotive industry. It also provides products and systems for various process stages in paint shop technology; supply control and conveyor systems, as well as air supply and exhaust-air systems; DXQ software family, which includes solutions for plant monitoring, manufacturing execution systems, advanced analytics, and other digital solutions; conveyor technology, filling, and testing technology, as well as assembly technology and marriage stations for connecting the car body and power train; consulting services; assembly and test systems for medical devices; test benches for electric and hybrid drives; and injection systems and inhalation devices. The company's Application Technology segment offers technologies for the automated spray application of primers, and base and clear coats; and systems used for paint supply, quality assurance, and process control and evaluation; sealing technology for sealing seams; and glueing technology. The company's Clean Technology Systems segment offers exhaust-air purification systems, battery electrode coating systems, and noise abatement systems, as well as ORC technology and services. Its Measuring and Process Systems segment provides balancing and diagnostic systems; and filling technology for air conditioning systems and household appliances. The company's Woodworking Machinery and Systems segment offers woodworking machinery and systems, such as panel dividing saws, through-feed saws and drilling machines, sanders, edge-banding machines, CNC processing centers, and handling and storage systems. Dürr Aktiengesellschaft was founded in 1895 and is headquartered in Bietigheim-Bissingen, Germany.",257
Bilfinger SE,"Bilfinger SE provides industrial services to customers in the process industry primarily in Europe, North America, and the Middle East. The company offers engineering, project, maintenance, turnaround, rotating equipment, and inspection services. It also provides new construction and decommissioning of nuclear power plants, treatment of radioactive waste, nuclear fusion services. In addition, the company offers energy efficiency, carbon capture, utilization, and storage; hydrogen, hydropower, wind power services. Further, the company provides design and engineering, plant engineering and assembly operation and optimization, bilfinger connected asset performance, PID graph, and mobile and web application services. It serves customers in chemical and petrochemical, energy and utilities, oil and gas, pharmaceuticals and biopharma, metallurgy, and cement industries. Bilfinger SE was founded in 1880 and is headquartered in Mannheim, Germany.",125
Heidelberger Druckmaschinen Aktiengesellschaft,"Heidelberger Druckmaschinen Aktiengesellschaft, together with its subsidiaries, manufactures, sells, and deals in printing press and other print media industry products in Europe, the Middle East, Africa, Asia/Pacific, Eastern Europe, North America, and South America. The company operates through Print Solutions, Packaging Solutions, and Technology Solutions segments. It offers printing machines, including digital, offset, narrow web, screen, and inline-flexo printing, as well as remarketed equipment; and finishing equipment comprising cutting, die-cutting and embossing, folding, inspection, folding carton gluing, hot foil stamping, and shingled folding. The company also provides technical services, such as installation and relocation, maintenance and cleaning, remote support, repair, and overhauling services, as well as service parts; and performance services consisting of performance evaluation, color management, training, upgrades and retrofits, monitoring, output optimization, print shop optimization, and investment planning. In addition, it offers financial services; and consumables, such as plates, films, chemicals, proofing, glues, digital and analog engraving, blankets, inks, dampening rollers, coatings, varnishes, blankets, rollers, pressroom chemicals, cutting knives, banderoles, ink duct foils, wash-up cloths and spray powders, dispersion glues, binding glues, stitching wires and sealing threads, and folding carton gluing supplies. Further, the company provides software solutions. The company was formerly known as Schnellpressenfabrik AG Heidelberg and changed its name to Heidelberger Druckmaschinen Aktiengesellschaft in 1967. Heidelberger Druckmaschinen Aktiengesellschaft was founded in 1850 and is based in Heidelberg, Germany.",222
KION GROUP AG,"KION GROUP AG provides industrial trucks, warehouse technology, supply chain solutions, and related services worldwide. The company operates through Industrial Trucks & Services, and Supply Chain Solutions segments. It develops, manufactures, and sells forklift and warehouse trucks, such as counterbalance trucks with electric drive and internal combustion engine, ride-on and hand-operated industrial trucks, and towing vehicles under the Linde, Fenwick, STILL, Baoli, and OM brand names. The company also manufactures and sells spare parts; leases industrial trucks and related items; offers maintenance and repair, and fleet management services, as well as provides finance solutions. In addition, it provides integrated technology and software solutions, including conveyors, sorters, storage and retrieval systems, picking equipment, palletizers, and automated guided vehicle systems under the Dematic brand. The company was formerly known as KION Holding 1 GmbH. KION GROUP AG was founded in 2006 and is based in Frankfurt am Main, Germany.",147
Pfeiffer Vacuum Technology AG,"Pfeiffer Vacuum Technology AG develops, manufactures, and markets components and systems for vacuum generation, measurement and analysis, and helium leak detectors. Its solutions include magnetic and hybrid bearing turbo pumps, and turbo pumping stations; vacuum rotary vane pumps, diaphragms, roots, side channels, screws, and piston and scroll pumps; vacuum chambers; gas analyzers, gauges, and mass spectrometers; leak detectors; gaskets, filters, valves, flanges, electrical feedthroughs, manipulators, bellows components, and other accessories; multi-stage vacuum systems, special pumping stations, and calibration and decontamination systems; and flexible services and consultation. It serves analytics, industrial, research and development, coating, and semiconductor markets in Europe, the United States, and Asia. The company markets and distributes its products through its own network of sales companies and independent marketing agents. Pfeiffer Vacuum Technology AG was founded in 1890 and is headquartered in Asslar, Germany.",136
Varta AG,"Varta AG, through its subsidiaries, researches, develops, produces, and sells microbatteries, household batteries, and energy storage solutions worldwide. It operates in two segments, Lithium-Ion Solutions & Microbatteries and Household Batteries. The Lithium-Ion Solutions & Microbatteries segment offers zinc-air batteries primarily for use in hearing aid devices; lithium-ion battery solutions for wireless headphones; wearables, which include medical devices to measure hypertension, blood sugar, and other bodily functions, as well as the power supply for COVID19 antibody tests; and rechargeable battery solutions for industrial and original equipment manufacturers for use in various applications, such as servers, car keys, alarm systems, or smart meters. This segment is also involved in the development, system integration, and assembly of lithium-ion battery packs for portable industrial, communication devices, electric power tool, home, garden, and medical applications. The Household Batteries segment offers household batteries, rechargeable batteries, chargers, power banks, lights, and energy storage systems. The company was founded in 1887 and is headquartered in Ellwangen, Germany. Varta AG is a subsidiary of Montana Tech Components AG.",169
Koenig & Bauer AG,"Koenig & Bauer AG develops and manufactures printing and postprint systems worldwide. It operates through three segments: Sheetfed, Digital & Webfed, and Special. The Sheetfed segment offers offset presses for packaging and commercial printing, as well as workflow and logistics solutions; and peripheral equipment for finishing and processing printed products, such as rotary/flatbed die cutters and folding-box gluing lines. The Digital & Web segment provides digital and offset web-fed presses for decor, flexible packaging, and newspaper and commercial printing applications. This segment also offers flexo presses for flexible packaging, as well as presses for flexo and digital printing of corrugated boards. The Special segment offers special presses for banknote and security printing applications; and systems for industrial marking and coding, as well as special systems for direct metal decorating and glass and hollow container printing. The company also provides inspection, maintenance, and calibration services; retrofits/upgrades and service contracts; and spare parts, consumables, and accessories for the presses. Koenig & Bauer AG was founded in 1817 and is headquartered in Würzburg, Germany.",171
Fuchs Petrolub SE,"Fuchs Petrolub SE develops, produces, and sells lubricants and related specialties worldwide. It offers engine and gear oils, central hydraulic oils, greases, shock absorber fluids, biodegradable lubricants; brake fluids and radiator antifreeze products; multi-purpose/long-life, wheel bearing, food grade, and biodegradable greases; greases for plain and roller bearings, extreme temperatures, rail vehicles, machine tools, and central lubricating systems; gear boxes; and assembly pastes and greases in spray cans; slide way, heat transfer, hydraulic, refrigerator, compressor, machine, textile machine, transformer, turbine, and cylinder oils; and biodegradable and adhesive lubricants. The company also offers quenching fluids, corrosion preventives, minimum lubricating products, cleaners, cutting and grinding lubricants, and forming lubricants; and food-compliant lubricants, adhesive lubricants for open transmissions, anti-friction coatings and films for dry coating, pastes and special greases, concrete release agents and high-temperature chain oils, as well as lubricants for the glass manufacturing, hot forming, the wind energy, and sugar industries. In addition, it is involved in the provision of metal-working fluids, corrosion preventatives, hydraulic and gear oils, greases, and other specialties, as well as in toll blending, chemical process management, and trading activities. Further, the company offers analytical, condition monitoring, tailor-made development, technical, open gear, and coating services; and special services for food and beverage processing. It provides its products to automotive suppliers and OEMs; mechanical engineering, metalworking, mining and exploration, aerospace, power generation, construction and transport, agriculture, and forestry sectors; and steel, metal, casting and forging, and cement industries, as well as food industry and glass manufacturing sectors. Fuchs Petrolub SE was founded in 1931 and is headquartered in Mannheim, Germany.",260
NORMA Group SE,"NORMA Group SE, together with its subsidiaries, manufactures and sells engineered joining technology solutions in Europe, the Middle East, Africa, the Americas, and the Asia-Pacific. The company provides quick connectors, hose clamps, retaining clamps, and pipe couplings. The company sells its products to distributors, original equipment manufacturer aftermarket customers, technical wholesalers, and hardware stores under the ABA, Breeze, Clamp-All, CONNECTORS, FISH, Gemi, Kimplas, NDS, NORMA, Raindrip, R.G.RAY, Serflex, TORCA, and TRUSTLENE brand names through its distribution network, sales representatives, retailers, and importers. The company also provides water management, emobility thermal management, and commercial and passenger vehicles solutions. NORMA Group SE was founded in 1896 and is headquartered in Maintal, Germany.",110
3U Holding AG,"3U Holding AG, together with its subsidiaries, engages in the sale of sanitary, heating, and air conditioning technology products in Germany and internationally. The company operates in three segments: Information and Telecommunications Technology (ITC); Renewable Energies; and Sanitary, Heating and Air Conditioning Technology (SHAC). It provides call-by-call, pre-selection, call-through, and voice termination products; and data center services, such as managed IT services, collocation, infrastructure as a service, and telecommunication services, as well as operates networks and installation facilities. The company also develops, operates, and sells cloud-based CRM and ERP solutions; and trades in IT licenses. In addition, it develops wind power projects; and generates electricity with its own power plants using wind and solar energy. Further, the company offers sanitary, heating, and air conditioning technology products to wholesalers, craftsmen, self-builders, and DIYers through its online stores, as well as installs air conditioning components in buildings. 3U Holding AG was founded in 1997 and is headquartered in Marburg, Germany.",158
Wacker Neuson SE,"Wacker Neuson SE manufactures and distributes light and compact equipment under the Wacker Neuson, Kramer, and Weidemann brand names in Europe, the Americas, and the Asia-Pacific. It operates through three segments: Light Equipment, Compact Equipment, and Services. The company offers internal and external vibrators for concrete compaction; trowels and screeds for concrete finishing; rammers, vibratory plates, and rollers for soil compaction; demolition products and saws; lighting; generators; pumps; and heaters. In addition, it offers compact construction equipment, including track and mobile excavators, wheel loaders, telescopic handlers, skid steer and backhoe loaders, compact track loaders, and wheel and track dumpers. The company also provides repair, maintenance, and spare parts; and used equipment, as well as rental, leasing, financing, training, telematics, and e-business services. It serves construction, gardening, landscaping, and agriculture sectors, as well as municipal bodies and companies in the recycling, energy, oil and gas, and rail transport sectors. The company was founded in 1848 and is headquartered in Munich, Germany.",160
Hapag-Lloyd Aktiengesellschaft,"Hapag-Lloyd Aktiengesellschaft, together with its subsidiaries, operates as a liner shipping company worldwide. Its vessel and container fleets are used for the transportation of general and special cargo, various dangerous goods, and coffee, as well as reefer cargo covering pharmaceuticals. The company also offers bilateral EDI, a directly connected electronic data interchange; operates an e-commerce portal that provides real-time access to transport data, as well as services to manage customer's supply chain data and connect to their carriers through one interface;mobile app that allows to manage shipping process; and provides e-mail and security information services. In addition, it provides inland container transportation services through truck and train. As of December 31, 2021, the company's fleet comprised 253 container ships with a total capacity of 1.8 million twenty-foot equivalent unit (TEU); and a container capacity of approximately 3.1 million TEU. Hapag-Lloyd Aktiengesellschaft was founded in 1847 and is headquartered in Hamburg, Germany.",151
Fraport AG,"Fraport AG owns and operates airports in Germany, rest of Europe, Asia, and the United States. The company primarily focuses on the operation of Frankfurt Main airport. The company operates through four segments: Aviation, Retail & Real Estate, Ground Handling, and International Activities & Services. The Aviation segment operates landside and airside infrastructure, which covers the area of airport charges. The Retail & Real Estate segment engages in retail activities, including marketing of real estate properties and land. This segment also manages buildings and facilities, and parking and retail areas; and rents advertising space. The Ground Handling segment provides loading, baggage, and passenger services through airmail and luggage transport to freight handling. The International Activities & Services segment acquires, operates, maintains, develops, and expands airports and infrastructure facilities. This segment also offers consulting services; integrated facility and corporate infrastructure management, airport expansion south, and information and telecommunication services. The company was founded in 1924 and is headquartered in Frankfurt am Main, Germany.",162
Sixt SE,"Sixt SE, through its subsidiaries, provides mobility services for private and business customers in Germany and internationally. The company engages in the rental of various utility vehicles; and provision of international holiday vehicle rental, car sharing, transfer, and car subscription services. As of December 31, 2021, its corporate and franchise station network comprised approximately 900 stations. The company was founded in 1912 and is headquartered in Pullach, Germany. Sixt SE is a subsidiary of Erich Sixt Vermögensverwaltung GmbH. The company offers mobility service across the fields of vehicle and commercial vehicle rental, car sharing, ride hailing, and car subscriptions. It has a network of 2,115 stations.",106
